turn,individual_sum,community_sum,total_sum,cooperation_avg,lambda_avg
1,0.6539309510451062,0.05361400870069716,0.7075449597458036,0.0024627961231044183,0.052
2,0.5119696349329769,-0.006588839167295371,0.5053807957656815,0.004355111710251349,0.053483333333333334
3,0.7155238053290952,0.009430636604590793,0.7249544419336861,0.006532085931181388,0.055216666666666664
4,0.7417144595805978,-0.013095089405751159,0.7286193701748467,0.008243696230113251,0.056600000000000004
5,0.7247229204634745,0.017665283448484732,0.7423882039119593,0.010556795691568645,0.05845
6,0.595218421700858,0.00942369475358023,0.6046421164544382,0.012693932159346276,0.06015
7,0.5785959754222847,0.01891003394959065,0.5975060093718753,0.014993918819136831,0.062
8,0.6813845550015725,0.012930186965559164,0.6943147419671316,0.017167438506972055,0.06375
9,0.8251427374951904,0.016022337956719063,0.8411650754519094,0.019381077119949745,0.0655
10,0.9645994252359309,0.017391074409450716,0.9819904996453815,0.021602628933372007,0.06728333333333333
11,0.9816401491825982,0.014660990615493877,0.996301139798092,0.02376245585411757,0.069
12,0.929410828233555,0.019459719294121255,0.9488705475276762,0.025987026077319092,0.07078333333333334
13,0.5538103552121684,0.018620818889786644,0.5724311741019551,0.028182164346641076,0.07254999999999999
14,0.5532003552121685,0.028734715189026927,0.5819350704011954,0.030521182147033022,0.07441666666666667
15,0.5525903552121687,0.025046591837637786,0.5776369470498064,0.032784214116242195,0.07623333333333333
16,0.5519803552121686,0.02919848984660646,0.5811788450587749,0.03509275118503611,0.07808333333333334
17,1.243010355212169,0.03261644482669704,1.2756268000388662,0.037433444315110614,0.07993333333333334
18,1.250120355212169,0.03713283800643702,1.287253193218606,0.03982027549476105,0.08186666666666666
19,1.2217403552121686,0.044239889205615765,1.2659802444177846,0.042287386384821574,0.08383333333333333
20,1.135640355212169,0.04679658668904359,1.1824369419012126,0.04476741107333638,0.08581666666666667
21,0.8319403552121687,0.04187524701094327,0.873815602223112,0.04715776737579618,0.08773333333333333
